iter	Passed	Remaining
701	791	336
702	792	334
703	793	333
704	794	332
705	794	330
706	795	329
707	796	328
708	796	327
709	797	325
710	798	324
711	799	323
712	800	322
713	802	321
714	803	320
715	803	318
716	804	317
717	805	316
718	806	315
719	807	313
720	807	312
721	808	311
722	809	310
723	810	308
724	810	307
725	811	306
726	812	305
727	813	303
728	814	302
729	815	301
730	816	300
731	817	299
732	818	298
733	819	296
734	819	295
735	820	294
736	821	293
737	822	291
738	823	290
739	824	289
740	824	288
741	825	287
742	826	285
743	827	284
744	827	283
745	828	282
746	829	280
747	830	279
748	831	278
749	832	277
750	833	276
751	834	275
752	835	274
753	836	272
754	837	271
755	837	270
756	838	269
757	839	267
758	840	266
759	840	265
760	841	264
761	842	263
762	843	261
763	844	260
764	845	259
765	846	258
766	847	257
767	848	256
768	849	255
769	850	254
770	851	252
771	852	251
772	853	250
773	854	249
774	854	248
775	855	246
776	856	245
777	857	244
778	860	244
779	862	243
780	863	242
781	865	241
782	866	240
783	867	238
784	868	237
785	869	236
786	870	235
787	871	234
788	872	233
789	874	232
790	875	231
791	876	230
792	877	229
793	878	227
794	879	226
795	880	225
796	880	224
797	881	223
798	882	222
799	883	220
800	884	219
801	885	218
802	886	217
803	887	216
804	889	215
805	890	214
806	892	213
807	893	212
808	894	211
809	895	209
810	895	208
811	896	207
812	897	206
813	898	205
814	899	204
815	900	202
816	900	201
817	901	200
818	902	199
819	904	198
820	905	197
821	906	196
822	907	195
823	908	194
824	910	193
825	911	191
826	912	190
827	913	189
828	914	188
829	915	187
830	916	186
831	916	185
832	917	184
833	920	183
834	921	182
835	923	181
836	924	180
837	925	178
838	926	177
839	927	176
840	928	175
841	929	174
842	930	173
843	931	172
844	932	171
845	933	169
846	935	168
847	936	167
848	937	166
849	938	165
850	939	164
851	941	163
852	942	162
853	943	161
854	944	160
855	945	159
856	946	157
857	947	156
858	948	155
859	950	154
860	952	153
861	954	152
862	956	151
863	957	150
864	958	149
865	959	148
866	960	147
867	963	146
868	964	145
869	966	144
870	968	143
871	969	142
872	970	141
873	971	140
874	972	138
875	973	137
876	974	136
877	975	135
878	976	134
879	977	133
880	979	132
881	980	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	988	123
889	989	122
890	990	121
891	991	119
892	992	118
893	993	117
894	994	116
895	996	115
896	998	114
897	999	113
898	1000	112
899	1001	111
900	1002	110
901	1003	108
902	1004	107
903	1005	106
904	1005	105
905	1007	104
906	1008	103
907	1009	102
908	1011	101
909	1012	100
910	1013	98
911	1014	97
912	1015	96
913	1015	95
914	1016	94
915	1017	93
916	1018	92
917	1019	91
918	1020	89
919	1020	88
920	1021	87
921	1023	86
922	1025	85
923	1026	84
924	1027	83
925	1028	82
926	1029	81
927	1030	79
928	1031	78
929	1032	77
930	1033	76
931	1033	75
932	1034	74
933	1036	73
934	1038	72
935	1040	71
936	1043	70
937	1044	69
938	1045	67
939	1046	66
940	1047	65
941	1048	64
942	1049	63
943	1050	62
944	1051	61
945	1053	60
946	1054	59
947	1055	57
948	1056	56
949	1057	55
950	1059	54
951	1060	53
952	1061	52
953	1062	51
954	1063	50
955	1064	48
956	1064	47
957	1065	46
958	1066	45
959	1068	44
960	1069	43
961	1071	42
962	1071	41
963	1072	40
964	1073	38
965	1074	37
966	1075	36
967	1076	35
968	1077	34
969	1078	33
970	1079	32
971	1080	31
972	1081	30
973	1083	28
974	1085	27
975	1086	26
976	1086	25
977	1087	24
978	1088	23
979	1089	22
980	1090	21
981	1091	20
982	1092	18
983	1092	17
984	1093	16
985	1094	15
986	1095	14
987	1096	13
988	1097	12
989	1098	11
990	1099	9
991	1100	8
992	1101	7
993	1102	6
994	1102	5
995	1103	4
996	1104	3
997	1105	2
998	1106	1
999	1106	0
